"region","year","value"
"Australia",2011,49
"Australia",2012,300
"Australia",2013,590
"Australia",2014,1880
"Australia",2015,3600
"Australia",2016,5000
"Australia",2017,7300
"Australia",2018,10900
"Australia",2019,20600
"Australia",2020,27000
"China",2010,4240
"China",2011,12090
"China",2012,25471
"China",2013,47260
"China",2014,126990
"China",2015,459317
"China",2016,946017
"China",2017,1686017
"China",2018,2891617
"China",2019,4155017
"China",2020,16210731
"Denmark",2010,103
"Denmark",2011,550
"Denmark",2012,1465
"Denmark",2013,1862
"Denmark",2014,3390
"Denmark",2015,9186
"Denmark",2016,10619
"Denmark",2017,11329
"Denmark",2018,16121
"Denmark",2019,27185
"Denmark",2020,63869
"France",2010,2116
"France",2011,6593
"France",2012,16572
"France",2013,31056
"France",2014,48280
"France",2015,76220
"France",2016,112351
"France",2017,153961
"France",2018,204961
"France",2019,283931
"France",2020,473190
"Germany",2010,470
"Germany",2011,2340
"Germany",2012,6700
"Germany",2013,14202
"Germany",2014,28202
"Germany",2015,52804
"Germany",2016,79434
"Germany",2017,120264
"Germany",2018,194287
"Germany",2019,262754
"Germany",2020,660620
"Japan",2010,3500
"Japan",2011,16867
"Japan",2012,44306
"Japan",2013,74413
"Japan",2014,117419
"Japan",2015,141321
"Japan",2016,160629
"Japan",2017,207929
"Japan",2018,238239
"Japan",2019,268747
"Japan",2020,309957
"Korea",2010,66
"Korea",2011,349
"Korea",2012,861
"Korea",2013,1417
"Korea",2014,2720
"Korea",2015,6090
"Korea",2016,10664
"Korea",2017,25384
"Korea",2018,61030
"Korea",2019,99520
"Korea",2020,168920
"Sweden",2010,4
"Sweden",2011,189
"Sweden",2012,1626
"Sweden",2013,3158
"Sweden",2014,7941
"Sweden",2015,15832
"Sweden",2016,28167
"Sweden",2017,44994
"Sweden",2018,68852
"Sweden",2019,101217
"Sweden",2020,183311
"United Kingdom",2010,2970
"United Kingdom",2011,4399
"United Kingdom",2012,7598
"United Kingdom",2013,11621
"United Kingdom",2014,27177
"United Kingdom",2015,54310
"United Kingdom",2016,92600
"United Kingdom",2017,141400
"United Kingdom",2018,189870
"United Kingdom",2019,271570
"United Kingdom",2020,456330
