"region","year","charging_points","sales"
"Australia",2017,480,2300
"Australia",2018,731,3600
"Australia",2019,1950,9200
"Australia",2020,2350,6900
"China",2014,30000,96850
"China",2015,59000,330800
"China",2016,141000,477505.099999905
"China",2017,213000,776980
"China",2018,270000,1294000
"China",2019,510000,1202000
"China",2020,2430000,3829560
"Denmark",2012,453,641
"Denmark",2013,556,616
"Denmark",2014,930,1639
"Denmark",2015,1270,4965
"Denmark",2016,2410,1913
"Denmark",2017,2470,1405
"Denmark",2018,2590,4826
"Denmark",2019,2650,9766
"Denmark",2020,3260,32638
"France",2012,809,9925
"France",2013,1800,14754
"France",2014,1810,17640
"France",2015,10480,27661
"France",2016,20000,35284
"France",2017,21000,44023
"France",2018,24700,55196
"France",2019,30000,70308
"France",2020,34300,194106
"Germany",2012,1518,4350
"Germany",2013,2447,7502
"Germany",2014,2720,13420
"Germany",2015,5070,24002
"Germany",2016,23700,26641
"Germany",2017,23800,58529
"Germany",2018,25600,72398
"Germany",2019,39100,113630
"Germany",2020,44500,399850
"Japan",2010,310,2400
"Japan",2011,800,13867
"Japan",2012,1400,26504
"Japan",2013,1800,31107
"Japan",2014,11500,33006
"Japan",2015,22000,24832
"Japan",2016,24100,24728
"Japan",2017,29300,54330
"Japan",2018,29700,50290
"Japan",2019,30900,39528
"Japan",2020,29900,31210
"Korea",2016,2020,5074
"Korea",2017,13300,14670
"Korea",2018,27200,59750
"Korea",2019,44400,37310
"Korea",2020,63800,55400
"Sweden",2012,505,1210
"Sweden",2013,2000,1740
"Sweden",2014,2200,4880
"Sweden",2015,2600,8941
"Sweden",2016,3400,13095
"Sweden",2017,3390,20612
"Sweden",2018,4100,31663
"Sweden",2019,5000,42550
"Sweden",2020,10400,96078
"United Kingdom",2011,1500,1494
"United Kingdom",2012,2836,3155
"United Kingdom",2013,5660,4143
"United Kingdom",2014,7720,15570
"United Kingdom",2015,9300,30067
"United Kingdom",2016,12800,39386
"United Kingdom",2017,15200,49346
"United Kingdom",2018,17700,52463
"United Kingdom",2019,26700,78550
"United Kingdom",2020,33200,183164
"Australia",2011,0,49
"Australia",2012,0,250
"Australia",2013,0,290
"Australia",2014,0,1320
"Australia",2015,0,1760
"Australia",2016,0,1370
"China",2010,0,3464.90000009537
"China",2011,0,7894
"China",2012,0,13231
"China",2013,0,21890
"Denmark",2010,0,62
"Denmark",2011,0,446
"France",2010,0,1006
"France",2011,0,4417
"Germany",2010,0,310
"Germany",2011,0,1920
"Korea",2010,0,66
"Korea",2011,0,274
"Korea",2012,0,512
"Korea",2013,0,606
"Korea",2014,0,1303
"Korea",2015,0,3370
"Sweden",2010,0,4
"Sweden",2011,0,189
"United Kingdom",2010,0,536
